Número de persona,Generó con el cuál se identifica,Edad,Ciudad de nacimiento,Departamento o país de nacimiento,Ciudades que ha vivido,Departamento o país ciudades que ha vivido,Ciudad de origen de su Padre,Departamento o país origen de su Padre,Ciudad es originaria de su madre,Departamento o país originaria de su madre,Productos capilares,Ropa ajustada,Ropa interior,Maquillaje,Joyería,"Productos o tratamientos de cuidado facial (mascarillas, cremas, láser...)",Ejercicio,Calzado,Considera que existe otro producto o servicio representativo,Productos capilares,Ropa ajustada,Ropa interior,Maquillaje,Joyería,"Productos o tratamientos de cuidado facial (mascarillas, cremas, láser...)",Ejercicio,Calzado,Considera que existe otro producto o servicio representativo,¿ Cuál es la zona corporal más representativa de la belleza femenina?,¿ Cuál es la zona corporal más representativa de la belleza femenina?
1,Mujer,20,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,1,1,1,1,1,1,1,1,,,,,,,,,,,El rostro,
1,Mujer,11,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,5,1,1,5,5,5,5,5,,,,,,,,,,,Todo su cuerpo porque son perfect tal y como son,
1,Mujer,21,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,3,2,3,2,1,3,3,3,,,,,,,,,,,Todo el cuerpo en general de la mujer la representa,
1,Mujer,17,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,4,4,3,4,4,5,5,3,,,,,,,,,,,Cuerpo,
1,Mujer,15,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,2,3,4,1,3,2,3,1,,,,,,,,,,,El torso,
1,Mujer,16,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,3,1,5,3,3,4,4,5,,,,,,,,,,,La cara o los ojos,
1,Mujer,11,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,5,1,1,4,5,5,5,5,,,,,,,,,,,Todo su cuerpo porque son perfectas tal y como son y no necesitamos que los hombres nos digan que mostrar y que no,
1,Mujer,23,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,4,2,5,5,5,5,3,5,"Ropa, accesorios, Cirugías estéticas, anticonceptivos",,,,,,,,,,90-60-90 🎵🎶,
1,Mujer,21,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,4,1,5,5,5,5,4,2,,,,,,,,,,,"Busto,. labios, ojos pestañas cabello",
1,Mujer,21,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,5,4,5,3,4,4,5,5,Productos sanos,,,,,,,,,,Si cara,
1,Mujer,21,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,4,2,2,2,3,3,2,2,,,,,,,,,,,Los senos y la cola.,
1,Mujer,22,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,3,3,5,5,4,4,4,5,,,,,,,,,,,Cara,
1,Mujer,22,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,3,3,4,1,1,4,1,1,,,,,,,,,,,"Su rostro y las diferentes expresiones que este puede llegar a crear, caracterizando la belleza de cada mujer",
1,Mujer,22,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,4,3,5,4,5,4,4,5,,,,,,,,,,,"La cara (piel, ojos, sonrisa, el pelo), el busto",
1,Mujer,42,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,4,4,4,4,5,4,2,4,Carteras,,,,,,,,,,Senos,
1,Mujer,30,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,4,2,3,4,3,5,4,4,,,,,,,,,,,Rostro,
1,Mujer,44,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,3,3,5,3,4,4,4,5,,,,,,,,,,,La piel,
1,Mujer,21,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,3,2,3,2,1,3,3,3,,,,,,,,,,,Todo el cuerpo en general de la mujer la representa,
1,Mujer,20,Bogotá,Cundinamarca,Cali,Valle del cauca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,1,1,1,1,1,1,1,1,,,,,,,,,,,El rostro,
1,Mujer,55,Bogotá,Cundinamarca,Los Ángeles,Estados Unidos,Bogotá,Cundinamarca,Bogotá,Cundinamarca,4,4,4,5,5,5,5,5,Bolsos,,,,,,,,,,Cola,
1,Mujer,20,Bogotá,Cundinamarca,New Jersey,Estados Unidos,Bogotá,Cundinamarca,Bogotá,Cundinamarca,1,1,1,1,1,1,1,1,,,,,,,,,,,El rostro,
1,Mujer,20,Bogotá,Cundinamarca,Orlando,Estados Unidos,Bogotá,Cundinamarca,Bogotá,Cundinamarca,1,1,1,1,1,1,1,1,,,,,,,,,,,El rostro,
1,Mujer,18,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Duitama,Boyacá,Bogotá,Cundinamarca,5,5,1,3,3,4,2,1,,,,,,,,,,,La cola,
1,Mujer,25,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Togüí,Boyacá,Bogotá,Cundinamarca,4,4,4,5,5,4,3,3,,,,,,,,,,,El pecho,
1,Mujer,20,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Tunja,Boyacá,Tunja,Boyacá,4,3,5,4,3,4,2,4,Productos de cuidado íntimo,,,,,,,,,,Rostro,
1,Mujer,58,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Tunja,Boyacá,3,4,5,3,2,1,4,4,,,,,,,,,,,Cara,
1,Mujer,47,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Tunja,Boyacá,Tunja,Boyacá,5,3,5,4,4,4,4,4,,,,,,,,,,,Cabeza,
1,Mujer,23,Bogotá,Cundinamarca,Bogotá,Cundinamarca,Tunja,Boyacá,Tunja,Boyacá,3,3,3,3,3,3,4,3,,,,,,,,,,,Rostro,
