 ,,INFLUENCERS,,CIUDAD / PAÍS,,DÍA,HORARIO DE PUBLICACIÓN,,TIPO DE PUBLICACIÓN,,,,MONETIZACIÓN,,,NÚMERO DE REACCIONES,,,PERSONAS EXPUESTAS (ROL),,,,,,,,,,PLANO PARA TOMAR FOTO/VIDEO,ELEMENTOS TECNOLÓGICOS,DESCRIPCIÓN
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California","Estados Unidos, Los Ángeles, California",Viernes,2:00 P.M.,5:00 P.M.,,,X,,X,,,5.317.5114M,,29.026K,,X,,,X,,,,,,Plano medio,"Bolso, lentes maquillaje, joyeria, pluma ",Legally Blonde
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Viernes,2:00 P.M.,5:00 P.M.,,X,,,,X,,,,,,,,,,X,,,X,,Plano primer,"Piercing, tatuajes, esqueleto blanco y base corporal",Video de @chanteburket probando el tono más oscuro del producto que le llegó (ella sufre de vitiligo)
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Viernes,2:00 P.M.,5:00 P.M.,,X,,,,X,,,,,,,,,,X,,,X,,Plano primer,"Piercing, tatuajes, esqueleto blanco y base corporal",Video de @chanteburket donde huele el producto y dice que tiene esencia a coco como lo dice en la caja
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Viernes,3:00 P.M.,6:00 P.M.,,X,,,,X,,,,,,,,,,X,,,X,,Plano medio,"Sudadera negra, base corporal y esmalte de uñas",Video de @kokobeaute va ha probar por primera vez él KKW beauty body foundation haciendo una reseña del producto (#nofilter)
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Viernes,3:00 P.M.,6:00 P.M.,,X,,,,X,,,,,,,,,,X,,,X,,Plano medio,"Sudadera negra, base corporal y esmalte de uñas","Video de @kokobeaute abre el producto en el tono Fair, diciendo que él le gusta el paquete y el olor"
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Viernes,3:00 P.M.,6:00 P.M.,,X,,,,X,,,,,,,,,,X,,,X,,Plano completo,"Sudadera negra, base corporal, cama, sábana blancas y esmalte de uñas","Video de @kokobeaute prueba el producto en diferentes zonas de su cuerpo, mostrando la diferencia de la piel con el producto"
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Viernes,3:00 P.M.,6:00 P.M.,,X,,,,X,,,,,,,,,,X,,,X,,Plano medio corto,"Sudadera negra, base corporal y esmalte de uñas","Video de @kokobeaute dice lo bueno que es el producto en su acabado, el olor y no tiene transferencia, con un texto que dice ¨the verdict¨"
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California","Estados Unidos, Los Ángeles, California",Viernes,3:00 P.M.,6:00 P.M.,,,,X,,X,,,11971084M,69.812K,,,,,,X,,,X,,Plano medio,"Bikini rosa, jacuzzi ","Elle Woods Harvard Video Essay

Elias Tahan video and editing
Ricky Alvarez video and photo
Lauren Drablier producer
Chris Appleton hair
Ash K Holm makeup
Music:
“One Girl Revolution”
Superchick
Courtesy of Whizbang, Inc.
and Inpop Records"
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Viernes,3:00 P.M.,6:00 P.M.,,X,,,,X,,,,,,,,,,,,,,X,,Sandalias negras con herrajes dorados de tacón,"Foto promocional de unas sandalias (kardashiankloset), con un texto que dice ¨Shop items from my closet now¡ Swipe up¨"
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Viernes,3:00 P.M.,6:00 P.M.,,X,,,,X,,,,,,,,,,,,,,X,,Botas rosadas de caña media con tacón aguja,"Foto promocional de unas botas, con un texto que dice ¨Just added new items to my store at @kardashiankloset. Swipe up¨"
